Database ID,Database Title,Page ID,Page Title,Summary
26abf87d-7134-8012-abf3-fda37db49dcd,Time lines (1),26abf87d-7134-8087-956a-cf827b8fa383,Engineering,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,274bf87d-7134-80e3-afd1-dc0fcf443f34,AI Co-pilot,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,271bf87d-7134-801a-ac36-e971c75a127a,Timeline Template,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,26abf87d-7134-8027-87bc-d5c54e88e715,Timeline Template,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,26abf87d-7134-8049-9a51-cb8b5b1c040b,Special instruction & notes in company 360,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,26abf87d-7134-80bf-a3ae-f0c8f058c03b,Timeline Template,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,26abf87d-7134-80d6-bc02-e538dbdab841,User homescreen,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,26abf87d-7134-80f9-91b6-c2d4ba1fedee,Tasks,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,262bf87d-7134-80c4-99c2-d20142bec828,New Roles & Functions,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,261bf87d-7134-8034-9b06-fe8c96c51694,Severity and Sentiment Analysis,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,24ebf87d-7134-8016-a694-ce0ce9b03262,Timeline Template,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,24ebf87d-7134-80b6-8909-e315c4563567,Timeline Template,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,241bf87d-7134-80ea-9056-fe52468a07ca,User home screen,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,23fbf87d-7134-8029-9d94-efd8f2712960,Timeline Template,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,22cbf87d-7134-8083-b594-c54a19bcc171,Timeline Template,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,22cbf87d-7134-8081-97e1-d5215d34bd59,"Conversation Sorting, Looped In and Notifications Revamp",
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,229bf87d-7134-808c-bdbb-d94f5f761cbe,Gmail Integration,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,209bf87d-7134-80aa-84fb-f065c1df6e6a,Sentiment Analysis,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,209bf87d-7134-80c1-a86b-d9470676e071,SLA’s change in logic,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,209bf87d-7134-8048-b422-fddecd1b87ed,Grid views (Company+People),
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,209bf87d-7134-80e7-91ab-f55a4081a430,Customer Journey,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,1ecbf87d-7134-80da-bfe4-c7fd3d2928b6,Company 360 Profile,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,1d5bf87d-7134-80b9-8274-ec26ab1480a7,Realtime-Events,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,1bcbf87d-7134-80f0-978c-d2c8e73c765c,Escalation,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,1bcbf87d-7134-80c7-a5d8-ce5e7359db68,Zendesk Integration ,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,1bcbf87d-7134-8034-9a47-e85f23f52d3d,Custom fields,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,1babf87d-7134-80f6-a6af-ccf2ab778453,Loop-In (Collaboration),
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,1a4bf87d-7134-80c7-ae51-f790207fa6ea,Notes PRD,
8072b604-2085-499d-b017-419ebe8a8c1e,KNOCCS Feature Roadmap,197bf87d-7134-80f9-b50b-de64125c35cd,Custom Filters Conversations,
