page_id,title,space_key,version_number,labels,excerpt
3647504386,V6.1.1 (18th September 2025),KNOCCS,3,,"<p>This release includes important modifications to <strong>Contact and Company creation flows</strong>&nbsp;for <strong>Shared Inbox (Outlook/Gmail)</strong>&nbsp;and <strong>Zendesk channel</strong>&nbsp;integrations.</p><p>These changes were made due to updated requirements. The earlier implementation, while aligned with the original requirements, was found to be unsuitable for bulk CRM data syncing. To ensure scalability and better control, auto-creation rules have now been refined.</p><p><s"
3623845903,V6.0.0 (2nd September 2025),KNOCCS,2,,"<h2>🌟 Overview</h2><p>We&rsquo;re excited to announce <strong>Knoccs v6.0.0</strong>, a milestone release introducing <strong>Zendesk Integration</strong>. This integration allows teams to seamlessly connect their Zendesk accounts to Knoccs, enabling <strong>one-way syncing of Zendesk tickets, comments, contacts, and companies into Knoccs</strong>. With this, Success teams and Stakeholders can collaborate in Knoccs with full visibility into Zendesk conversations &mdash; without requiring additio"
3617849360,V5.0.0 (28th August 2025),KNOCCS,2,,"<p>🚀<strong> Release v5.0.0</strong></p><p>We&rsquo;re excited to announce <strong>Release v5.0.0</strong>, introducing two major enhancements that significantly improve usability, data visibility, and customer interaction management within Knoccs:</p><ol start=""1""><li><p><strong>Company &amp; Contact Hub Views and Filters</strong></p></li><li><p><strong>Company 360&deg; Interactions</strong></p></li></ol><p>⸻</p><p>🔹<strong> 1. Company &amp; Contact Hub Views and Filters</strong></p><p>We&rsquo"
3602481178,V4.1.2 (18th August 2025),KNOCCS,2,,"<p><strong>Release Update: Backup Polling Job for Personal Inbox</strong></p><p>We are excited to announce an enhancement to our <strong>Backup Polling Job</strong> for <strong>Personal Inboxes</strong>:</p><ul><li><p><strong>Backup Polling Implementation</strong>:<br />The job will now fetch and sync conversations not only from the <strong>Inbox</strong>, but also from its <strong>subfolders</strong>, <strong>Sent Items</strong>, and <strong>Junk Email</strong> folder directly into Knoccs.</p><"
3571122177,V4.1.0 (22nd July 2025),KNOCCS,6,,"<p><strong>🚀 Knoccs CRM &ndash; Release v4.1.0</strong></p><p>We&rsquo;re excited to roll out <strong>version 4.1.0</strong> of Knoccs CRM, introducing key <strong>task enhancements</strong>, <strong>performance improvements</strong>, and <strong>bug fixes</strong> to further optimize your team&rsquo;s workflow and system reliability.</p><p><strong>✅ Key Tasks &amp; Enhancements</strong></p><hr /><ol start=""1""><li><p><strong>Real-Time Events &amp; Live Updates</strong></p></li></ol><ul><li><p><s"
3557916688,V4.0.0 (9th July 2025),KNOCCS,3,,"<p><strong>🚀 Major Features</strong></p><p><strong>🧭 Company 360 View &ndash; A Holistic Company Profile (NEW)</strong></p><p>The all-new <strong>Company 360</strong> provides a comprehensive profile page for every company in your CRM. Designed to give customer-facing teams deep, actionable insight at a glance, this view brings together key data points and interaction summaries in one centralized place.</p><p /><p><strong>🔍 Key Highlights:</strong></p><ul><li><p><strong>Editable Profile Section:"
3529474056,V3.1.0 (13th June 2025),KNOCCS,1,,"<p><strong>What&rsquo;s New</strong></p><p>This release brings significant enhancements aimed at streamlining user workflows, improving visibility, and enabling more powerful filtering capabilities within the <strong>conversation management experience</strong>.</p><hr /><ol start=""1""><li><p><strong>Transfer Feature for Personal Inbox</strong></p></li></ol><p>The <strong>Transfer</strong> functionality enables seamless handoff of customer conversations from a <strong>Personal Inbox</strong> to a "
3514531853,V3.0.0 (2nd June 2025),KNOCCS,1,,"<p><strong>Overview</strong></p><p>We&rsquo;re pleased to announce the release of the <strong>Personal Inbox</strong> feature in Knoccs &mdash; a powerful integration designed to streamline communication, improve team collaboration, and bring external email workflows into the Knoccs ecosystem. With full support for Microsoft Outlook and robust syncing capabilities, users can now manage their personal email directly within Knoccs while leveraging advanced features like tagging, collaboration, and"
3514531844,V2.0.0 (16th May 2025),KNOCCS,1,,"<p><strong>New Feature: Custom Fields for People and Companies</strong></p><p>We&rsquo;re excited to introduce <strong>Custom Fields</strong> in Knoccs, giving users greater flexibility to tailor People and Company records to their specific business needs.</p><p><strong>&nbsp;Key Capabilities</strong></p><ul><li><p><strong>Custom Field Management:</strong></p><ul><li><p>Access from <strong>Settings &gt; Custom Fields</strong> with separate tabs for <strong>Companies</strong> and <strong>People</"
3514400771,V1.0.0 (29th April 2025),KNOCCS,1,,"<h1>Features</h1><p /><ol start=""1""><li><p><strong>Sign-Up &amp; Sign-In Options:</strong></p></li></ol><ul><li><p><strong>Classic Sign-Up / Sign-In:</strong> Users can now sign up and sign in to the app using their classic account credentials.</p></li><li><p><strong>Microsoft Account Integration:</strong> Added sign-up and sign-in options with Microsoft for seamless access for Microsoft users.</p></li><li><p><strong>Google Account Integration: </strong>Added Google OAuth support, allowing users"
